,precision,recall,f1-score,support
pin_change,0.96,0.8,0.8727272727272727,30.0
play_music,1.0,0.9,0.9473684210526315,30.0
plug_type,1.0,0.9333333333333333,0.9655172413793104,30.0
pto_balance,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
pto_request,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
pto_request_status,0.9,0.9,0.9,30.0
pto_used,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
recipe,0.8787878787878788,0.9666666666666667,0.9206349206349206,30.0
redeem_rewards,0.9565217391304348,0.7333333333333333,0.8301886792452831,30.0
reminder,1.0,0.9666666666666667,0.9830508474576272,30.0
reminder_update,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
repeat,1.0,0.9,0.9473684210526315,30.0
replacement_card_duration,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
report_fraud,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
report_lost_card,1.0,0.8666666666666667,0.9285714285714286,30.0
reset_settings,1.0,1.0,1.0,30.0
restaurant_reservation,0.8484848484848485,0.9333333333333333,0.8888888888888888,30.0
restaurant_reviews,1.0,0.8666666666666667,0.9285714285714286,30.0
restaurant_suggestion,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
rewards_balance,0.8108108108108109,1.0,0.8955223880597015,30.0
roll_dice,1.0,1.0,1.0,30.0
rollover_401k,1.0,1.0,1.0,30.0
routing,1.0,1.0,1.0,30.0
schedule_maintenance,1.0,0.9333333333333333,0.9655172413793104,30.0
schedule_meeting,0.967741935483871,1.0,0.9836065573770492,30.0
share_location,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
shopping_list,0.9615384615384616,0.8333333333333334,0.8928571428571429,30.0
shopping_list_update,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
smart_home,0.9375,1.0,0.967741935483871,30.0
spelling,1.0,0.9666666666666667,0.9830508474576272,30.0
spending_history,0.8484848484848485,0.9333333333333333,0.8888888888888888,30.0
sync_device,1.0,0.9666666666666667,0.9830508474576272,30.0
taxes,1.0,1.0,1.0,30.0
tell_joke,1.0,1.0,1.0,30.0
text,1.0,0.9,0.9473684210526315,30.0
thank_you,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
time,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
timer,1.0,0.9666666666666667,0.9830508474576272,30.0
timezone,1.0,0.9666666666666667,0.9830508474576272,30.0
tire_change,1.0,0.9666666666666667,0.9830508474576272,30.0
tire_pressure,0.967741935483871,1.0,0.9836065573770492,30.0
todo_list,1.0,1.0,1.0,30.0
todo_list_update,1.0,1.0,1.0,30.0
